Airport ID,City,Country,Latitude,Longitude,Altitude,Altitude_BIN,Coord_X,Coord_Y,Coord_X_Nearest_End
8693,"Oconomowoc","United States",43.138901,-88.472298,885,1,-9832.683370,4794.395118,10158.586466
8694,"Kozyrevsk","Russia",56.090000,159.876663,331,1,17768.461416,6233.761598,2231.033242
8695,"Dikson","Russia",73.517807,80.379669,47,1,8933.280330,8170.662878,11066.214329
8696,"Mine Site","Australia",-30.186701,139.557999,116,1,15510.274387,-3354.906326,4489.220271
8698,"Bantry","Ireland",51.668598,-9.484170,7,1,-1054.056950,5742.373369,18937.212886
8700,"Aliwal North","South Africa",-30.680000,26.730000,4405,2,2970.733539,-3409.730918,17028.761119
8701,"Alkantpan","South Africa",-29.906401,22.316700,3589,1,2480.245801,-3323.754174,17519.248858
8702,"Alldays","South Africa",-22.679001,29.055500,2600,1,3229.186304,-2520.511396,16770.308354
8703,"Barberton","South Africa",-25.716869,30.975180,2250,1,3442.536763,-2858.135674,16556.957895
8706,"Hamilton","United States",39.363800,-84.522003,633,1,-9393.653345,4374.835879,10597.616490
8707,"Bungoma","Kenya",0.576208,34.553452,4726,2,3840.220693,64.038924,16159.273965
8708,"Bura","Kenya",-1.100000,39.950001,345,1,4439.985379,-122.252414,15559.509279
8709,"Busia","Kenya",0.457085,34.130280,3989,2,3793.189969,50.799768,16206.304690
8710,"Embu","Kenya",-0.573270,37.497260,4150,2,4167.391314,-63.712400,15832.103345
8711,"Garba Tula","Kenya",0.533333,38.516667,2000,1,4280.686735,59.273859,15718.807923
8712,"Garissa","Kenya",-0.463508,39.648300,475,1,4406.454811,-51.513611,15593.039847
8713,"Hola","Kenya",-1.522000,40.004002,195,1,4445.986956,-169.152877,15553.507702
8714,"Homa Bay","Kenya",-0.600000,34.466999,4280,2,3830.612489,-66.683136,16168.882169
8715,"Isiolo","Kenya",0.338171,37.591694,3495,1,4177.886559,37.583830,15821.608100
8717,"Kericho","Kenya",-0.389900,35.242093,6446,2,3916.755311,-43.332923,16082.739348
8718,"Kilaguni","Kenya",-2.910610,38.065201,2750,1,4230.511434,-323.480987,15768.983224
8721,"Antsirabe","Madagascar",-19.839221,47.063713,4997,2,5230.593090,-2204.902419,14768.901568
8722,"Bekily","Madagascar",-24.235695,45.304527,1270,1,5035.079722,-2693.520108,14964.414936
8723,"Ust-Tsylma","Russia",65.437294,52.200336,262,1,5801.469993,7272.606335,14198.024665
8740,"Gorno-Altaysk","Russia",51.966702,85.833298,965,1,9539.388728,5775.504143,10460.105930
8742,"Fond du Lac","United States",43.771198,-88.488403,808,1,-9834.473328,4864.667751,10156.796507
8743,"Waupaca","United States",44.333302,-89.019798,840,1,-9893.531797,4927.139096,10097.738039
8744,"Stevens Point","United States",44.545200,-89.530296,1110,1,-9950.267812,4950.689224,10041.002023
8745,"Mys Shmidta","Russia",68.868301,-179.373001,20,1,-19935.256248,7653.923540,56.013588
8746,"Honuu","Russia",66.450859,143.261551,656,1,15921.881845,7385.252485,4077.612814
8747,"Newberry","United States",46.311199,-85.457298,869,1,-9497.600692,5146.959784,10493.669143
8750,"Peenemunde","Germany",54.157780,13.774444,7,1,1530.871768,6019.017407,18468.622890
8751,"Goraszka","Poland",52.184441,21.281111,361,1,2365.151911,5799.703352,17634.342748
8752,"Nusawiru","Indonesia",-7.720390,108.489998,16,1,12057.421655,-858.032975,7942.073004
8759,"Galion","United States",40.753399,-82.723801,1224,1,-9193.803715,4529.273887,10797.466120
8761,"Tiputini","Ecuador",-0.776111,-75.526398,997,1,-8393.894747,-86.255856,11597.375088
8762,"Pastaza","Ecuador",-1.505240,-78.062698,3465,1,-8675.775539,-167.290195,11315.494297
8763,"Clarksville","United States",36.621899,-87.415001,550,1,-9715.176936,4070.104918,10276.092900
